Agenda,ClassMaterial,Age,Experience,FAQ,Grades,Gender,"PostCOVID changes","Marca temporal",None,Other,OtherBot,Provided,Sector,Slack,"Messaging Organization",Telegram,Degrees,WhatsApp,Discipline
No,Yes,45-55,"0-05 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 11:09:38",No,Yes,No,No,Vocational,No,"A chat with all students and teachers in the same semester/year",No,"Grado medio, Grado superior",No,"Social Sciences"
Yes,Yes,"> 55","> 25 years",Yes,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 11:13:38",No,No,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",No,"Social Sciences"
Yes,Yes,"> 55","> 25 years",Yes,Yes,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 11:26:17",No,Yes,No,No,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",No,"Social Sciences"
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","9/02/2021 16:14:29",No,No,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Aula de Mayores/Extensión Universitaria",No,Technology
Yes,Yes,"> 55","> 25 years",No,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 16:53:56",No,No,No,Yes,Vocational,No,"A chat with all students and teachers in the same semester/year",No,"Grado medio",Yes,No
No,No,45-55,"0-05 years",Yes,No,Male,"No, I didn't use it before, and don't use it now","9/02/2021 17:33:24",No,No,No,No,Vocational,No,"A chat with my students in the same course",No,"Grado superior",Yes,No
Yes,No,45-55,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","9/02/2021 17:33:43",No,No,No,Yes,Vocational,No,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat",Yes,"Grado superior",Yes,Technology
No,No,45-55,"16-25 years",Yes,No,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 18:10:20",No,No,No,Yes,Vocational,No,"A chat with all students and teachers in the same semester/year",No,"Grado superior",No,Technology
No,Yes,"> 55","> 25 years",No,Yes,Female,"Yes, I use a safer messaging app now","9/02/2021 18:29:45",No,Yes,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado superior",Yes,Technology
Yes,Yes,35-45,"0-05 years",Yes,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 18:33:36",No,No,No,No,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Grado superior",Yes,Technology
Yes,No,35-45,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","9/02/2021 18:41:08",No,No,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Grado superior",Yes,Technology
No,Yes,35-45,"0-05 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 19:14:44",No,Yes,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Grado superior",No,Technology
Yes,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 19:14:48",No,No,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Grado superior",Yes,Technology
Yes,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 19:16:56",No,No,No,No,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",Yes,Technology
No,Yes,35-45,"0-05 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 19:23:10",No,Yes,No,No,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",No,Technology
Yes,No,25-35,"0-05 years",No,Yes,Female,"No, I did use it before, and use it now","9/02/2021 19:35:45",No,No,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",No,"Grado superior",No,Sciences
No,Yes,45-55,"16-25 years",Yes,No,Female,"No, I did use it before, and use it now","9/02/2021 19:46:26",No,No,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",No,Technology
No,No,45-55,"06-15 years",Yes,No,Female,"Yes, I use a safer messaging app now","9/02/2021 19:52:39",No,No,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado superior",Yes,Technology
No,Yes,35-45,"16-25 years",Yes,Yes,Female,"No, I did use it before, and use it now","9/02/2021 20:24:11",No,No,No,Yes,Vocational,Yes,"A chat with my students in the same course",Yes,"Grado medio, Bachillerato",No,Technology
Yes,No,45-55,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","9/02/2021 20:31:14",No,No,No,Yes,Vocational,Yes,"A chat with my students in the same course",No,"Grado medio, Grado superior",No,Technology
Yes,No,45-55,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","9/02/2021 20:35:30",No,No,No,No,Vocational,Yes,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",No,"Grado superior",No,Technology
Yes,No,45-55,"06-15 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 20:39:25",No,No,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado medio",No,Technology
Yes,Yes,45-55,"16-25 years",Yes,Yes,Female,"No, I did use it before, and use it now","9/02/2021 20:56:40",No,Yes,No,No,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",Yes,Technology
Yes,Yes,35-45,"06-15 years",Yes,Yes,Female,"No, I did use it before, and use it now","9/02/2021 20:58:42",No,No,No,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",Yes,"Grado medio",Yes,Technology
Yes,No,45-55,"16-25 years",No,Yes,Female,"No, I did use it before, and use it now","9/02/2021 21:07:52",No,No,No,Yes,Vocational,No,"A chat with my students in the same course",No,"Grado medio, Grado superior",Yes,Technology
Yes,Yes,45-55,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","9/02/2021 21:13:50",Yes,No,No,No,Vocational,Yes,"A chat with my students in the same course",Yes,"Grado medio",No,Technology
No,No,45-55,"> 25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 21:49:43",No,Yes,Yes,Yes,Vocational,No,"I'd rather leave students self-organize and not be part of the chat",Yes,"Grado superior",Yes,Technology
No,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 6:57:31",No,No,No,No,Vocational,Yes,"A chat with my students in the same course",Yes,"Grado superior",No,Technology
Yes,Yes,"> 55","> 25 years",No,No,Female,"Antes usaba Moodle","13/02/2021 8:08:12",No,No,No,No,Vocational,No,"A chat with my students in the same course",Yes,"Grado medio",Yes,Technology
